algo,p,algop,entity,time
N,1,N1,d,0
N,1,N1,comm,0.000554787
N,1,N1,comp,0.209751
N,1,N1,allgather,0.000109552
N,1,N1,allreduce,7.33E-05
N,1,N1,reducescatter,0.000362398
N,1,N1,gram,0.00108466
N,1,N1,krp,0.0822452
N,1,N1,mttkrp,0.0779489
N,1,N1,multittv,0
N,1,N1,nnls,0.0476957
N,1,N1,err_compute,0.000183122
N,1,N1,err_communication,0.000183122
N,1,N1,d,0
N,1,N1,comm,0.000566542
N,1,N1,comp,0.209856
N,1,N1,allgather,0.000109714
N,1,N1,allreduce,7.79E-05
N,1,N1,reducescatter,0.000370175
N,1,N1,gram,0.00107348
N,1,N1,krp,0.0819564
N,1,N1,mttkrp,0.0782485
N,1,N1,multittv,0
N,1,N1,nnls,0.0477918
N,1,N1,err_compute,0.000183298
N,1,N1,err_communication,0.000183298
N,1,N1,d,0
N,1,N1,comm,0.000557665
N,1,N1,comp,0.21001
N,1,N1,allgather,0.000118673
N,1,N1,allreduce,7.89E-05
N,1,N1,reducescatter,0.000350869
N,1,N1,gram,0.00108919
N,1,N1,krp,0.0820653
N,1,N1,mttkrp,0.0782585
N,1,N1,multittv,0
N,1,N1,nnls,0.047834
N,1,N1,err_compute,0.000175186
N,1,N1,err_communication,0.000175186
N,1,N1,d,0
N,1,N1,comm,0.000559591
N,1,N1,comp,0.211015
N,1,N1,allgather,0.000117249
N,1,N1,allreduce,7.11E-05
N,1,N1,reducescatter,0.000361698
N,1,N1,gram,0.00118403
N,1,N1,krp,0.0825945
N,1,N1,mttkrp,0.0787263
N,1,N1,multittv,0
N,1,N1,nnls,0.0477363
N,1,N1,err_compute,0.000182677
N,1,N1,err_communication,0.000182677
N,1,N1,d,0
N,1,N1,comm,0.00056995
N,1,N1,comp,0.210991
N,1,N1,allgather,0.000122403
N,1,N1,allreduce,6.91E-05
N,1,N1,reducescatter,0.00036928
N,1,N1,gram,0.00106714
N,1,N1,krp,0.0823257
N,1,N1,mttkrp,0.0791061
N,1,N1,multittv,0
N,1,N1,nnls,0.0477307
N,1,N1,err_compute,0.000181424
